# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "data/yeast.gtf" "-o" "outputs/final_counts_matrix.txt" "outputs/STAR_alignment_results/yeastAligned.sortedByName.out.bam" 
Geneid	Chr	Start	End	Strand	Length	outputs/STAR_alignment_results/yeastAligned.sortedByName.out.bam
NM_001180034.1	chrIII	252845	254173	+	1329	2
NM_001178787.1	chrIII	254371	258654	+	4284	4
NM_001178788.1	chrIII	258883	259269	+	387	6
NM_001178789.1	chrIII	259578	259961	+	384	0
NM_001348897.1	chrIII	262916	263269	+	354	0
NM_001178792.1	chrIII	263392	263964	+	573	4
NM_001184316.1	chrIII	264006	264467	-	462	2
NM_001178794.1	chrIII	265068	266846	+	1779	0
NM_001178795.1	chrIII	267434	272263	+	4830	2
NM_001178796.1	chrIII	272315	272863	-	549	4
NM_001178797.2	chrIII	274404	276566	+	2163	2
NM_001178798.1	chrIII	276764	279820	-	3057	0
NM_001178799.1	chrIII	280117	286443	+	6327	0
NM_001178800.1	chrIII	286762	287937	+	1176	7
NM_001178801.1	chrIII	288170	289258	-	1089	1
NM_001184674.1	chrIII	289639	289797	+	159	0
NM_001178802.1	chrIII	293179	293538	-	360	0
NM_001178804.1	chrIII;chrIII;chrIII	293835;293994;294292	293939;294239;294321	+;+;+	381	0
NM_001178805.1	chrIII	297049	298605	-	1557	0
NM_001178806.1	chrIII	300832	301299	-	468	2
NM_001178807.1	chrIII	301271	302221	-	951	4
NM_001178808.1	chrIII	302482	303030	-	549	0
NM_001178809.1	chrIII	304361	305467	-	1107	18
NM_001178811.1	chrIII	307801	308175	+	375	0
NM_001178812.1	chrIII	309070	310155	+	1086	34
NM_001178813.1	chrIII	310958	313456	+	2499	2
NM_001178814.1	chrIII	313890	314981	+	1092	9
NM_001184543.1	chrIII	315997	316188	-	192	0
NM_001181061.1	chrVII	129883	131169	+	1287	8
NM_001180996.1	chrVII	261648	265859	-	4212	0
NM_001180924.4	chrVII	392223	393698	+	1476	4
NM_001181146.1	chrVII	523787	524680	+	894	2
NM_001181217.1	chrVII	654634	656322	+	1689	2
NM_001181276.3	chrVII	786054	786920	-	867	2
NM_001181341.3	chrVII	917040	918446	+	1407	0
NM_001181129.1	chrVII	2790	3932	+	1143	0
NM_001181128.1	chrVII	5312	5839	+	528	0
NM_001181127.1	chrVII	6290	6652	-	363	0
NM_001181126.1	chrVII	6860	7090	+	231	0
NM_001181125.1	chrVII	8470	8967	+	498	0
NM_001184473.1	chrVII	9162	9395	+	234	2
NM_001181124.1	chrVII	11110	11730	+	621	173
NM_001181123.1	chrVII	12481	14157	-	1677	6
NM_001181122.1	chrVII	15159	16307	+	1149	120
NM_001181121.1	chrVII	20978	22108	+	1131	328
NM_001181120.1	chrVII	22304	23203	+	900	0
NM_001181119.1	chrVII	23935	25395	+	1461	29
NM_001181118.1	chrVII	25718	27484	-	1767	8
NM_001181117.1	chrVII;chrVII	27921;31579	31426;31636	-;-	3564	4
NM_001181116.1	chrVII	31910	32635	+	726	0
NM_001181115.1	chrVII	33098	35212	+	2115	0
NR_132176.1	chrVII	33109	35013	-	1905	0
NM_001181114.1	chrVII	35653	36762	+	1110	0
NM_001181113.1	chrVII	36933	37526	+	594	3
NM_001181112.1	chrVII	37617	38780	-	1164	2
NM_001181111.1	chrVII	39023	41149	+	2127	12
NM_001181110.1	chrVII	41498	43174	+	1677	6
NM_001181109.1	chrVII	43307	44509	+	1203	0
NM_001181108.1	chrVII	44652	45197	-	546	0
NM_001181107.1	chrVII	45445	48459	+	3015	0
NM_001181106.1	chrVII	48613	49365	+	753	0
NM_001181104.1	chrVII	49552	52434	+	2883	2
NM_001181103.1	chrVII	52731	53528	-	798	1
NM_001181102.1	chrVII	53787	55796	-	2010	0
NM_001181101.1	chrVII	55279	55815	+	537	0
NM_001181100.1	chrVII	56482	58890	+	2409	32
NM_001181099.1	chrVII	59122	61854	+	2733	4
NM_001181098.1	chrVII;chrVII	62075;62190	62131;63002	+;+	870	6
NM_001181097.1	chrVII	63048	63620	-	573	2
NM_001181096.1	chrVII	63772	64215	-	444	0
NM_001181095.1	chrVII	64503	66959	-	2457	0
NM_001181094.1	chrVII	67598	69331	+	1734	6
NM_001181093.1	chrVII	69671	72547	+	2877	0
NM_001181091.1	chrVII;chrVII	72749;73138	72988;73158	-;-	261	6
NM_001181092.1	chrVII	73340	73711	+	372	0
NM_001181090.1	chrVII	76894	77907	+	1014	22
NM_001181089.1	chrVII	78015	78857	-	843	0
NM_001181088.1	chrVII	79112	80365	-	1254	8
NM_001181087.1	chrVII	80659	81186	-	528	0
NM_001181086.1	chrVII	81426	82292	-	867	8
NM_001181085.1	chrVII	82374	82736	+	363	2
NM_001181084.1	chrVII	82878	84257	-	1380	4
NM_001181081.1	chrVII	84885	87302	+	2418	0
NM_001181080.1	chrVII	87981	89339	+	1359	7
NM_001181078.1	chrVII	90054	91247	-	1194	6
NM_001181077.1	chrVII	91432	92382	+	951	0
NM_001181076.1	chrVII	92512	93591	+	1080	0
NM_001181075.1	chrVII	93792	94460	+	669	0
NM_001181074.1	chrVII	95858	97006	+	1149	4
NM_001181073.2	chrVII	97338	98585	+	1248	0
NM_001181072.1	chrVII	98969	102076	+	3108	16
NM_001181071.1	chrVII	102543	107504	-	4962	4
NM_001181070.1	chrVII	108158	110404	+	2247	2
NM_001270746.1	chrVII	111700	112005	-	306	1
NM_001181068.1	chrVII	112475	114664	-	2190	4
NM_001181067.1	chrVII	116059	117561	+	1503	6
NM_001181066.1	chrVII	117854	120907	-	3054	8
NM_001181065.3	chrVII	122694	123305	-	612	8
NM_001181063.1	chrVII	123591	124298	+	708	0
NM_001181062.2	chrVII	124698	129161	+	4464	0
NM_001181060.3	chrVII	131525	139543	+	8019	2
NM_001184677.1	chrVII	139719	139961	-	243	0
NM_001181059.1	chrVII	140368	141726	-	1359	2
NR_132177.1	chrVII	141898	144120	-	2223	0
NM_001181058.1	chrVII	141916	142227	-	312	0
NM_001181057.3	chrVII	142246	144048	+	1803	0
NM_001181056.1	chrVII	144808	145197	+	390	20
NM_001181055.1	chrVII	145809	147389	-	1581	10
NM_001181054.1	chrVII	148229	148588	-	360	44
NM_001184593.3	chrVII	148824	148964	-	141	0
NM_001181052.1	chrVII	149704	150171	-	468	19
NM_001181051.1	chrVII	151037	152776	-	1740	10
NM_001181050.1	chrVII	153167	154306	-	1140	0
NM_001181049.3	chrVII	154615	156012	-	1398	4
NM_001181048.1	chrVII;chrVII	156543;157283	157199;157285	-;-	660	0
NM_001181046.1	chrVII	157906	159096	+	1191	6
NM_001181045.1	chrVII	160065	162758	+	2694	2
NM_001181044.3	chrVII	163409	165091	-	1683	0
NM_001181043.1	chrVII;chrVII	167352;167995	167354;170571	+;+	2580	0
NM_001181041.1	chrVII	171415	173079	-	1665	4
NM_001181040.1	chrVII	173285	174322	-	1038	0
NM_001181039.3	chrVII	174545	175345	+	801	2
NM_001181038.1	chrVII	175527	180113	-	4587	4
NM_001181037.1	chrVII	180700	182118	+	1419	6
NM_001181036.1	chrVII	182390	184084	+	1695	4
NM_001181035.3	chrVII	184153	185394	-	1242	0
NM_001181034.1	chrVII	186059	187339	+	1281	6
NM_001181033.1	chrVII	187464	187796	+	333	0
NM_001181032.1	chrVII	187616	190468	-	2853	8
NM_001181031.3	chrVII	191129	191806	+	678	0
NM_001181029.1	chrVII	191978	193300	-	1323	2
NM_001181028.1	chrVII	193707	196403	-	2697	2
NM_001181027.1	chrVII	198138	199037	+	900	0
NM_001181026.3	chrVII	199210	200142	-	933	0
NM_001181025.1	chrVII	200561	202273	+	1713	6
NM_001181024.1	chrVII	202721	203833	+	1113	0
NM_001181023.1	chrVII	207033	208571	+	1539	0
NM_001181022.3	chrVII	209006	210049	+	1044	26
NM_001181021.1	chrVII	210416	213667	+	3252	6
NM_001181020.1	chrVII	214081	215211	+	1131	4
NM_001181019.1	chrVII	215278	216096	-	819	0
NM_001181018.3	chrVII	216273	217298	+	1026	0
NM_001181016.1	chrVII	217524	220922	+	3399	0
NM_001181015.1	chrVII	221104	225573	-	4470	2
NM_001348834.1	chrVII	225572	225877	+	306	0
NM_001181013.1	chrVII	226399	227529	+	1131	14
NM_001181012.3	chrVII	227754	228329	-	576	53
NM_001181011.1	chrVII	228751	229686	-	936	0
NM_001181010.2	chrVII	230243	232348	+	2106	2
NM_001181009.1	chrVII	232450	234507	-	2058	0
NM_001181008.3	chrVII	234717	235958	-	1242	4
NM_001181007.1	chrVII	236269	238119	-	1851	0
NM_001181006.1	chrVII	238353	241085	+	2733	0
NM_001181005.1	chrVII	241353	245012	-	3660	8
NM_001181004.3	chrVII	245716	248124	+	2409	3
NM_001181003.1	chrVII	248494	249531	-	1038	0
NM_001181002.1	chrVII;chrVII	249869;250087	249886;252738	+;+	2670	7
NM_001181001.1	chrVII	252897	253859	-	963	0
NM_001181000.3	chrVII	254641	255294	+	654	36
NM_001180999.1	chrVII	255663	256964	+	1302	2
NM_001180998.1	chrVII	257707	261501	+	3795	2
NM_001180995.3	chrVII	266145	267524	+	1380	2
NM_001180994.2	chrVII	267723	269075	-	1353	0
NM_001180993.1	chrVII	269293	270144	-	852	0
NM_001180992.1	chrVII	270392	270775	-	384	0
NM_001180991.3	chrVII	270997	272139	+	1143	2
NM_001180990.1	chrVII	272520	274322	+	1803	6
NM_001180989.2	chrVII	274780	276714	-	1935	0
NM_001180988.1	chrVII	277617	278381	+	765	123
NM_001180987.3	chrVII	278946	280523	-	1578	10
NM_001180986.1	chrVII	280777	281157	-	381	1
NM_001180985.1	chrVII	281634	283937	-	2304	12
NM_001180984.1	chrVII	284442	285947	+	1506	2
NM_001348835.1	chrVII	288014	288451	-	438	0
NM_001180982.3	chrVII	288512	289309	+	798	0
NM_001180981.1	chrVII	289809	291641	+	1833	0
NM_001180980.1	chrVII	292033	293001	+	969	8
NM_001180979.1	chrVII	293460	295637	+	2178	4
NM_001180978.3	chrVII	295932	297938	+	2007	4
NM_001180977.1	chrVII	298178	299728	-	1551	7
NM_001180976.1	chrVII	299978	301369	+	1392	10
NM_001180975.1	chrVII	301537	303411	-	1875	4
NM_001180973.3	chrVII	303649	304071	-	423	0
NM_001180972.1	chrVII	304333	306273	-	1941	2
NM_001180971.1	chrVII	306560	307009	+	450	0
NM_001180970.1	chrVII	307437	308567	+	1131	14
NM_001180969.3	chrVII	308713	310173	-	1461	2
NM_001180968.1	chrVII;chrVII	310967;311527	311015;311927	+;+	450	72
NM_001180966.1	chrVII	312193	312840	+	648	2
NM_001180965.1	chrVII	313234	314283	+	1050	6
NM_001180964.3	chrVII	314631	316553	+	1923	4
NR_132178.1	chrVII	316788	317055	+	268	0
NM_001180963.1	chrVII	317342	318079	+	738	2
NM_001180962.1	chrVII	321782	323230	+	1449	2
NM_001180961.1	chrVII	325331	326161	+	831	0
NM_001180960.3	chrVII	328874	330607	-	1734	2
NM_001180959.1	chrVII	331118	334465	-	3348	4
NM_001180958.1	chrVII	334886	337639	+	2754	2
NM_001180957.1	chrVII	337906	341859	+	3954	4
NM_001180956.3	chrVII	342056	343042	-	987	2
NM_001180955.1	chrVII	343319	344584	+	1266	0
NM_001180954.1	chrVII	344791	345153	-	363	0
NM_001348836.1	chrVII	345836	346201	+	366	0
NR_132179.1	chrVII	345986	346230	+	245	0
NM_001180952.1	chrVII;chrVII	346406;346894	346808;346904	-;-	414	2
NM_001180951.3	chrVII	347119	349368	+	2250	6
NM_001180950.1	chrVII	349616	350440	+	825	2
NM_001180949.1	chrVII	350616	352298	-	1683	2
NM_001180948.1	chrVII	353058	355472	+	2415	2
NM_001180947.3	chrVII	355827	356972	+	1146	2
NM_001180946.1	chrVII	357377	358339	+	963	0
NM_001180945.1	chrVII	358636	359028	+	393	4
NM_001180944.1	chrVII	359444	360100	+	657	0
NM_001180943.3	chrVII	360288	361859	-	1572	18
NM_001180942.1	chrVII	362225	363916	-	1692	10
NM_001180941.1	chrVII;chrVII;chrVII	364335;365433;365986	364964;365526;365996	-;-;-	735	41
NR_132180.1	chrVII	365163	365251	-	89	0
NR_132181.1	chrVII	366374	366469	-	96	0
NM_001180940.1	chrVII	366925	368088	-	1164	0
NM_001180938.3	chrVII	368753	371254	+	2502	0
NM_001180936.1	chrVII	372012	374084	+	2073	1
NM_001180935.1	chrVII	374459	374827	-	369	2
NM_001180933.1	chrVII	375087	375671	+	585	5
NM_001180932.3	chrVII	376101	377255	+	1155	4
NM_001180931.1	chrVII	377609	379582	+	1974	0
NM_001180930.1	chrVII	379760	381271	-	1512	0
NM_001180929.1	chrVII	381523	383208	-	1686	2
NM_001180928.4	chrVII	383654	384766	+	1113	0
NM_001180927.1	chrVII	385196	388732	+	3537	8
NM_001180926.1	chrVII	388968	389711	-	744	2
NM_001180925.1	chrVII	390065	391990	+	1926	2
NM_001180923.1	chrVII	393986	394504	+	519	7
NM_001180922.1	chrVII	394966	395829	-	864	0
NM_001180921.2	chrVII	396035	397618	-	1584	12
NM_001180920.3	chrVII	398628	400160	+	1533	38
NM_001180919.1	chrVII	400871	401287	-	417	4
NM_001180918.1	chrVII	402589	403302	+	714	0
NM_001180916.1	chrVII	403687	404391	+	705	0
NM_001180915.3	chrVII	405776	406597	+	822	2
NM_001180914.1	chrVII	406860	409604	-	2745	3
NM_001180913.1	chrVII	410069	411286	-	1218	6
NM_001180912.1	chrVII	411552	412160	+	609	4
NM_001180910.3	chrVII	414102	415730	+	1629	2
NM_001180909.1	chrVII	416146	417036	-	891	5
NM_001180908.1	chrVII	417483	418412	+	930	4
NM_001184550.1	chrVII	418704	418886	-	183	0
NM_001184647.4	chrVII	418825	419289	+	465	5
NM_001180905.1	chrVII	419527	420555	-	1029	8
NM_001180904.1	chrVII	423961	425007	+	1047	6
NM_001180903.1	chrVII	425362	426804	-	1443	7
NM_001180902.3	chrVII	427297	427947	-	651	2
NM_001180901.1	chrVII	428601	431330	+	2730	0
NM_001180900.1	chrVII	431548	433062	-	1515	4
NM_001348837.1	chrVII	433214	433579	-	366	0
NM_001180898.2	chrVII;chrVII;chrVII	435625;435750;436375	435679;436312;436401	+;+;+	645	0
NM_001180897.3	chrVII	436570	436833	-	264	0
NM_001180896.1	chrVII	437467	437934	-	468	47
NM_001180895.1	chrVII;chrVII	439091;439324	439093;439638	+;+	318	54
NM_001180894.1	chrVII	440063	440425	+	363	4
NM_001180893.3	chrVII	441281	442909	-	1629	0
NM_001180892.1	chrVII	443642	446143	-	2502	8
NM_001180891.1	chrVII	446412	448535	-	2124	10
NM_001180890.1	chrVII	448764	449957	-	1194	0
NM_001180888.3	chrVII	450197	452104	-	1908	6
NM_001180887.1	chrVII	452404	454560	+	2157	8
NM_001180886.1	chrVII	454785	457067	+	2283	2
NM_001180885.1	chrVII	457163	457870	-	708	8
NM_001180884.3	chrVII	458156	458992	+	837	0
NM_001180883.1	chrVII	459110	459664	-	555	2
NM_001180882.1	chrVII	459854	461365	+	1512	0
NM_001180881.1	chrVII	461666	464911	+	3246	0
NM_001180880.3	chrVII	465043	465435	-	393	0
NM_001180879.1	chrVII	466141	468807	+	2667	2
NM_001180878.1	chrVII	469092	472298	-	3207	1
NM_001180877.1	chrVII	472855	474276	+	1422	18
NM_001180876.3	chrVII	474489	475247	-	759	16
NM_001180875.1	chrVII	475545	476069	+	525	2
NM_001180874.1	chrVII	476313	478652	-	2340	14
NM_001180873.1	chrVII	479910	482666	-	2757	162
NM_001184592.3	chrVII	482941	483027	-	87	0
NM_001348838.1	chrVII	483260	483637	+	378	0
NM_001184634.1	chrVII	485423	485533	+	111	1
NM_001180871.1	chrVII	485921	489442	+	3522	8
NM_001180870.1	chrVII	489708	490547	-	840	0
NM_001180869.3	chrVII	490703	491956	-	1254	8
NM_001180868.1	chrVII	492474	494174	-	1701	0
NM_001180867.1	chrVII	494517	495167	+	651	0
NM_001180866.1	chrVII	495453	496502	-	1050	11
NM_001181130.3	chrVII;chrVII;chrVII	497133;497459;498000	497365;497937;498034	-;-;-	747	6
NM_001181131.1	chrVII	498476	499906	-	1431	3
NM_001181132.1	chrVII	500132	502366	+	2235	6
NM_001181133.1	chrVII	502938	504326	+	1389	0
NM_001181134.3	chrVII	504657	505859	-	1203	2
NM_001181135.1	chrVII	506070	506825	+	756	0
NM_001181136.1	chrVII	506969	507940	+	972	2
NM_001181137.1	chrVII	508110	508364	-	255	4
NM_001181138.3	chrVII	509047	511002	-	1956	4
NM_001181139.1	chrVII	511545	512732	+	1188	1
NM_001181141.1	chrVII	513159	514340	+	1182	4
NM_001181142.1	chrVII	514554	516416	+	1863	0
NM_001181143.3	chrVII	516943	520863	+	3921	4
NM_001181144.1	chrVII	521090	522076	-	987	2
NM_001181145.1	chrVII	522261	522833	+	573	0
NM_001270747.1	chrVII	524365	524694	-	330	0
NM_001181148.3	chrVII	525229	526644	+	1416	2
NM_001181149.1	chrVII	526973	527329	-	357	4
NM_001181150.1	chrVII	527632	528504	+	873	4
NM_001181152.1	chrVII	529264	530919	+	1656	0
NM_001181153.3	chrVII	531883	532596	-	714	0
NM_001348839.1	chrVII	532639	532941	+	303	0
NM_001181155.3	chrVII	532985	533821	+	837	4
NM_001181156.1	chrVII	534132	534458	-	327	51
NM_001184431.1	chrVII	536057	537379	+	1323	0
NM_001184432.2	chrVII;chrVII	536057;537363	537361;541325	+;+	5268	0
NM_001181157.3	chrVII	542203	543291	+	1089	4
NM_001181158.3	chrVII;chrVII	543553;543722	543638;544205	+;+	570	2
NR_132182.1	chrVII	545370	545566	+	197	0
NM_001181159.1	chrVII	545681	546157	-	477	2
NM_001181160.1	chrVII	546441	547469	+	1029	0
NM_001184658.1	chrVII	546809	547300	-	492	0
NM_001181161.3	chrVII	548264	553951	+	5688	8
NM_001181162.3	chrVII	554248	554967	-	720	0
NM_001181163.1	chrVII;chrVII	555812;556308	555830;556672	+;+	384	38
NM_001181164.1	chrVII	557072	557422	-	351	3
NM_001184648.1	chrVII	557565	557786	+	222	0
NM_001181165.3	chrVII	558149	558868	-	720	0
NM_001181166.3	chrVII	559731	559994	-	264	6
NM_001181167.1	chrVII	560682	561350	+	669	2
NM_001184434.2	chrVII;chrVII	562199;566163	566161;567467	-;-	5268	0
NM_001184433.1	chrVII	566145	567467	-	1323	0
NM_001348840.1	chrVII	574888	575199	+	312	0
NM_001181169.3	chrVII	575398	576504	+	1107	2
NM_001181170.3	chrVII	577487	579130	+	1644	4
NM_001181171.1	chrVII	579476	580291	+	816	0
NM_001181172.1	chrVII	580435	581436	-	1002	0
NM_001181173.1	chrVII	582990	583892	-	903	0
NM_001348841.1	chrVII	583934	584296	-	363	0
NM_001181175.3	chrVII	584895	586052	+	1158	0
NM_001181176.3	chrVII	586392	589469	-	3078	2
NM_001181177.1	chrVII	589826	590911	+	1086	4
NM_001181178.1	chrVII	591314	591877	+	564	8
NM_001270748.1	chrVII	592086	592442	-	357	0
NM_001181181.1	chrVII	593596	594705	+	1110	0
NM_001181182.3	chrVII	594986	595837	-	852	0
NM_001181183.4	chrVII	596693	598621	+	1929	13
NM_001181184.1	chrVII	599417	601141	+	1725	28
NM_001181185.1	chrVII	601661	604447	+	2787	4
NM_001181186.3	chrVII	604773	605501	-	729	2
NM_001181187.2	chrVII	606136	607143	+	1008	2
NM_001181188.3	chrVII	607563	609101	+	1539	0
NR_132183.1	chrVII	609584	609696	+	113	0
NM_001181189.3	chrVII	610564	611493	+	930	44
NM_001181190.1	chrVII	611889	615965	-	4077	16
NM_001181191.1	chrVII	616328	617278	-	951	0
NM_001181192.3	chrVII	617516	617824	-	309	2
NM_001181194.1	chrVII	618077	619858	-	1782	6
NM_001181195.3	chrVII	620921	621799	-	879	0
NM_001181196.4	chrVII	622372	624786	-	2415	0
NM_001181197.1	chrVII	625324	627084	-	1761	1
NM_001181199.2	chrVII	627806	631273	+	3468	2
NM_001181200.3	chrVII	631481	634063	-	2583	0
NM_001181201.1	chrVII	634304	635467	+	1164	8
NM_001181203.3	chrVII	635712	636152	+	441	0
NM_001181204.3	chrVII	636147	636875	-	729	0
NM_001181205.1	chrVII	637104	637577	-	474	4
NM_001181206.1	chrVII	637744	639513	-	1770	0
NM_001181207.3	chrVII	639772	640371	-	600	0
NM_001181208.1	chrVII	640720	641832	+	1113	4
NM_001181209.3	chrVII	642010	643008	+	999	2
NM_001181210.3	chrVII	643148	643780	-	633	2
NM_001181211.1	chrVII	644044	644595	+	552	2
NM_001181212.1	chrVII	644860	646815	-	1956	2
NM_001181213.3	chrVII	647123	648142	-	1020	4
NM_001181214.1	chrVII	648383	648907	-	525	30
NM_001181215.3	chrVII	649598	650617	-	1020	37
NM_001181216.3	chrVII	651290	652981	-	1692	2
NM_001181218.1	chrVII	656960	659770	+	2811	6
NM_001181219.3	chrVII	662358	666071	+	3714	4
NM_001181220.1	chrVII	666341	667825	+	1485	4
NM_001181221.3	chrVII	668189	669907	+	1719	4
NM_001181222.3	chrVII	670388	671911	+	1524	8
NM_001181223.1	chrVII	672186	675500	+	3315	38
NM_001181224.1	chrVII	675671	676342	-	672	4
NM_001181225.3	chrVII	676621	677565	+	945	0
NM_001181226.1	chrVII	678695	682135	+	3441	0
NM_001181227.3	chrVII	682566	687458	-	4893	0
NM_001181228.3	chrVII	687899	689965	+	2067	0
NM_001181229.1	chrVII	690245	693097	+	2853	6
NM_001181230.1	chrVII	693363	694403	+	1041	2
NM_001181231.3	chrVII	694584	695135	-	552	4
NM_001181232.1	chrVII	695417	697234	+	1818	40
NM_001181233.3	chrVII	697445	698368	-	924	0
NM_001181234.3	chrVII	698599	698832	+	234	2
NM_001181235.1	chrVII	698989	699786	-	798	12
NM_001181237.1	chrVII	703636	705051	+	1416	0
NM_001181238.3	chrVII	705359	706501	-	1143	0
NM_001184380.3	chrVII	707610	708482	+	873	0
NM_001184381.2	chrVII;chrVII	707610;708461	708459;712254	+;+	4644	0
NM_001181239.3	chrVII	713709	715046	+	1338	0
NM_001181240.1	chrVII	715828	717030	+	1203	6
NM_001181241.1	chrVII	717358	718527	+	1170	2
NM_001181242.3	chrVII	718893	719924	+	1032	0
NM_001181245.1	chrVII	720409	724764	+	4356	10
NM_001181246.3	chrVII	725049	726479	-	1431	0
NM_001181247.3	chrVII;chrVII	726974;727358	727038;727730	+;+	438	47
NM_001181248.1	chrVII	728046	729671	-	1626	7
NM_001181249.1	chrVII	730033	730821	-	789	0
NM_001181250.3	chrVII	731449	732927	-	1479	2
NM_001184551.1	chrVII	733412	733627	+	216	0
NM_001181251.3	chrVII	733935	735143	+	1209	0
NM_001181252.3	chrVII	736662	738203	-	1542	6
NM_001181253.1	chrVII	739944	741662	+	1719	12
NM_001181254.1	chrVII	742325	745435	+	3111	8
NM_001181255.3	chrVII	745835	746527	+	693	0
NM_001181256.1	chrVII	746798	747736	+	939	0
NM_001181257.3	chrVII	747950	750091	-	2142	12
NM_001181258.3	chrVII	750400	751047	+	648	0
NM_001181259.1	chrVII	751394	753844	-	2451	4
NM_001181260.1	chrVII	754726	755250	+	525	0
NM_001181261.3	chrVII	755589	756452	-	864	9
NM_001181262.1	chrVII	756896	757447	+	552	0
NM_001181263.3	chrVII	757770	761138	+	3369	2
NM_001181264.3	chrVII	761392	762168	+	777	24
NM_001181265.1	chrVII	762428	763153	+	726	0
NM_001181267.1	chrVII	763762	765606	-	1845	2
NM_001181269.3	chrVII	767429	770299	+	2871	0
NM_001181270.1	chrVII	770569	771972	+	1404	0
NM_001181271.3	chrVII	772454	773686	+	1233	2
NM_001181272.3	chrVII	775193	777508	+	2316	2
NM_001181273.1	chrVII	780399	781379	+	981	657
NM_001181274.2	chrVII	781767	783890	+	2124	6
NM_001181275.3	chrVII	784223	784858	-	636	0
NM_001184594.1	chrVII	785276	785437	-	162	0
NM_001181277.3	chrVII	787312	787779	-	468	38
NM_001181278.1	chrVII	789031	790329	+	1299	6
NM_001181279.1	chrVII	790459	793053	-	2595	4
NM_001181281.3	chrVII	794674	795492	-	819	11
NM_001181282.2	chrVII	796092	796745	+	654	3
NM_001181283.3	chrVII	796798	797868	-	1071	3
NM_001181284.3	chrVII	798543	800066	+	1524	42
NM_001181285.1	chrVII	800546	801823	+	1278	0
NM_001181286.1	chrVII	802440	805049	+	2610	6
NM_001181287.3	chrVII	805269	806021	-	753	5
NM_001181288.1	chrVII	806412	807656	-	1245	45
NM_001181290.3	chrVII	808629	809420	-	792	5
NM_001184675.3	chrVII	810227	810505	+	279	1
NM_001184401.1	chrVII	811738	813054	+	1317	0
NM_001184402.2	chrVII;chrVII	811738;813032	813030;817051	+;+	5313	0
NM_001184400.4	chrVII;chrVII	817747;821711	821709;823015	-;-	5268	0
NM_001184399.1	chrVII	821693	823015	-	1323	0
NM_001181291.3	chrVII	824059	826917	+	2859	26
NM_001181292.3	chrVII	827552	828577	+	1026	4
NM_001348843.1	chrVII	828625	828960	+	336	0
NM_001181294.1	chrVII	829116	830153	+	1038	12
NM_001181295.1	chrVII	830515	832197	+	1683	2
NM_001181296.3	chrVII	832456	833157	+	702	7
NM_001181297.1	chrVII	833352	834482	-	1131	0
NM_001181298.3	chrVII	834689	835903	-	1215	0
NM_001184531.3	chrVII	836387	836665	-	279	6
NM_001181299.1	chrVII	837142	840558	+	3417	2
NM_001181300.1	chrVII	840824	842551	-	1728	2
NM_001181301.3	chrVII	842845	843591	-	747	2
NM_001181302.1	chrVII	843854	844960	+	1107	2
NM_001181303.3	chrVII	845893	846405	-	513	0
NM_001184595.3	chrVII	846655	846741	+	87	0
NM_001181304.1	chrVII	846933	848423	-	1491	43
NM_001181306.1	chrVII	848829	850436	-	1608	0
NM_001181307.3	chrVII	851047	853215	-	2169	6
NM_001181308.1	chrVII	853675	854895	-	1221	2
NM_001181309.3	chrVII	855264	856301	-	1038	13
NM_001181310.3	chrVII	858287	858604	+	318	5
NM_001181312.1	chrVII;chrVII	859063;859474	859260;859476	-;-	201	11
NM_001181313.1	chrVII	859901	865753	-	5853	4
NM_001181314.3	chrVII	866336	867520	-	1185	14
NM_001181315.1	chrVII	867774	869981	+	2208	2
NM_001181316.3	chrVII	870232	871416	-	1185	10
NM_001181317.3	chrVII	872044	875109	-	3066	0
NM_001181318.1	chrVII	876669	878192	-	1524	10
NM_001181320.1	chrVII	880420	882231	+	1812	8
NM_001181321.3	chrVII	882812	883810	-	999	266
NM_001181322.1	chrVII	884509	885741	-	1233	8
NM_001181323.3	chrVII	886073	887875	-	1803	2
NM_001181324.3	chrVII	888882	889622	+	741	6
NM_001181325.1	chrVII	889733	892186	-	2454	4
NM_001181326.1	chrVII	892497	894140	-	1644	2
NM_001181327.3	chrVII	894693	897146	+	2454	4
NM_001181328.1	chrVII	897502	899781	+	2280	2
NM_001181329.3	chrVII	899904	902270	-	2367	4
NM_001181330.3	chrVII	902520	903197	-	678	0
NM_001181331.1	chrVII	903474	904748	-	1275	6
NM_001181332.1	chrVII	905237	905683	+	447	0
NM_001181333.3	chrVII	905934	908774	+	2841	32
NM_001184596.1	chrVII	909061	909174	-	114	0
NM_001181334.3	chrVII	909213	910085	+	873	0
NM_001181335.3	chrVII	910432	910737	+	306	2
NM_001181336.1	chrVII	910843	911628	-	786	10
NM_001181337.1	chrVII	911883	912812	+	930	4
NM_001181338.3	chrVII	912913	913227	-	315	4
NM_001181339.1	chrVII	913503	914738	-	1236	4
NM_001181340.3	chrVII	915241	916701	+	1461	14
NM_001181342.1	chrVII	918512	919465	-	954	0
NM_001181343.1	chrVII;chrVII	920575;921120	920664;921788	+;+	759	53
NM_001181344.3	chrVII	922175	922507	+	333	6
NM_001181345.1	chrVII	922633	924462	-	1830	2
NM_001181346.3	chrVII	924696	930815	+	6120	4
NM_001181347.3	chrVII	932541	935795	+	3255	8
NM_001181349.1	chrVII	936074	936883	-	810	2
NM_001181350.2	chrVII	937124	938992	-	1869	0
